RawScore,Inhibit_TScore,Inhibit_Perc_Rank,SelfMonitor_TScore,SelfMonitor_Perc_Rank,Shift_TScore,Shift_Perc_Rank,EmotionalControl_TScore,EmotionalControl_Perc_Rank,Initiate_TScore,Initiate_Perc_Rank,WorkingMemory_TScore,WorkingMemory_Perc_Rank,PlanOrganize_TScore,PlanOrganize_Perc_Rank,TaskMonitor_TScore,TaskMonitor_Perc_Rank,OrgMaterials_TScore,OrgMaterials_Perc_Rank,BehaviorRegulation_TScore,BehaviorRegulation_Perc_Rank,EmotionRegulation_TScore,EmotionRegulation_Perc_Rank,CognitiveRegulation_TScore,CognitiveRegulation_Perc_Rank,GlobalExecutive_TScore,GlobalExecutive_Perc_Rank
180,,,,,,,,,,,,,,,,,,,,,,,,,>90,>99
179,,,,,,,,,,,,,,,,,,,,,,,,,>90,>99
178,,,,,,,,,,,,,,,,,,,,,,,,,90,>99
177,,,,,,,,,,,,,,,,,,,,,,,,,90,>99
176,,,,,,,,,,,,,,,,,,,,,,,,,89,>99
175,,,,,,,,,,,,,,,,,,,,,,,,,89,>99
174,,,,,,,,,,,,,,,,,,,,,,,,,88,>99
173,,,,,,,,,,,,,,,,,,,,,,,,,88,>99
172,,,,,,,,,,,,,,,,,,,,,,,,,88,>99
171,,,,,,,,,,,,,,,,,,,,,,,,,87,>99
170,,,,,,,,,,,,,,,,,,,,,,,,,87,>99
169,,,,,,,,,,,,,,,,,,,,,,,,,86,>99
168,,,,,,,,,,,,,,,,,,,,,,,,,86,>99
167,,,,,,,,,,,,,,,,,,,,,,,,,85,>99
166,,,,,,,,,,,,,,,,,,,,,,,,,85,>99
165,,,,,,,,,,,,,,,,,,,,,,,,,84,>99
164,,,,,,,,,,,,,,,,,,,,,,,,,84,99
163,,,,,,,,,,,,,,,,,,,,,,,,,83,99
162,,,,,,,,,,,,,,,,,,,,,,,,,83,99
161,,,,,,,,,,,,,,,,,,,,,,,,,83,99
160,,,,,,,,,,,,,,,,,,,,,,,,,82,99
159,,,,,,,,,,,,,,,,,,,,,,,,,82,99
158,,,,,,,,,,,,,,,,,,,,,,,,,81,99
157,,,,,,,,,,,,,,,,,,,,,,,,,81,99
156,,,,,,,,,,,,,,,,,,,,,,,,,80,98
155,,,,,,,,,,,,,,,,,,,,,,,,,80,98
154,,,,,,,,,,,,,,,,,,,,,,,,,79,98
153,,,,,,,,,,,,,,,,,,,,,,,,,79,98
152,,,,,,,,,,,,,,,,,,,,,,,,,78,98
151,,,,,,,,,,,,,,,,,,,,,,,,,78,98
150,,,,,,,,,,,,,,,,,,,,,,,,,78,98
149,,,,,,,,,,,,,,,,,,,,,,,,,77,98
148,,,,,,,,,,,,,,,,,,,,,,,,,77,98
147,,,,,,,,,,,,,,,,,,,,,,,,,76,97
146,,,,,,,,,,,,,,,,,,,,,,,,,76,97
145,,,,,,,,,,,,,,,,,,,,,,,,,75,97
144,,,,,,,,,,,,,,,,,,,,,,,,,75,97
143,,,,,,,,,,,,,,,,,,,,,,,,,74,97
142,,,,,,,,,,,,,,,,,,,,,,,,,74,97
141,,,,,,,,,,,,,,,,,,,,,,,,,73,97
140,,,,,,,,,,,,,,,,,,,,,,,,,73,97
139,,,,,,,,,,,,,,,,,,,,,,,,,73,97
138,,,,,,,,,,,,,,,,,,,,,,,,,72,96
137,,,,,,,,,,,,,,,,,,,,,,,,,72,96
136,,,,,,,,,,,,,,,,,,,,,,,,,71,95
135,,,,,,,,,,,,,,,,,,,,,,,,,71,95
134,,,,,,,,,,,,,,,,,,,,,,,,,70,95
133,,,,,,,,,,,,,,,,,,,,,,,,,70,95
132,,,,,,,,,,,,,,,,,,,,,,,,,70,95
131,,,,,,,,,,,,,,,,,,,,,,,,,69,93
130,,,,,,,,,,,,,,,,,,,,,,,,,69,93
129,,,,,,,,,,,,,,,,,,,,,,,,,68,93
128,,,,,,,,,,,,,,,,,,,,,,,,,68,93
127,,,,,,,,,,,,,,,,,,,,,,,,,67,93
126,,,,,,,,,,,,,,,,,,,,,,,,,67,93
125,,,,,,,,,,,,,,,,,,,,,,,,,67,93
124,,,,,,,,,,,,,,,,,,,,,,,,,66,93
123,,,,,,,,,,,,,,,,,,,,,,,,,66,93
122,,,,,,,,,,,,,,,,,,,,,,,,,65,91
121,,,,,,,,,,,,,,,,,,,,,,,,,65,91
120,,,,,,,,,,,,,,,,,,,,,,,,,64,91
119,,,,,,,,,,,,,,,,,,,,,,,,,64,91
118,,,,,,,,,,,,,,,,,,,,,,,,,64,91
117,,,,,,,,,,,,,,,,,,,,,,,,,63,89
116,,,,,,,,,,,,,,,,,,,,,,,,,63,89
115,,,,,,,,,,,,,,,,,,,,,,,,,62,88
114,,,,,,,,,,,,,,,,,,,,,,,,,62,88
113,,,,,,,,,,,,,,,,,,,,,,,,,61,88
112,,,,,,,,,,,,,,,,,,,,,,,,,61,88
111,,,,,,,,,,,,,,,,,,,,,,,,,60,87
110,,,,,,,,,,,,,,,,,,,,,,,,,60,87
109,,,,,,,,,,,,,,,,,,,,,,,,,60,87
108,,,,,,,,,,,,,,,,,,,,,,,,,59,84
107,,,,,,,,,,,,,,,,,,,,,,,,,59,84
106,,,,,,,,,,,,,,,,,,,,,,,,,58,82
105,,,,,,,,,,,,,,,,,,,,,,,,,58,82
104,,,,,,,,,,,,,,,,,,,,,,,,,57,80
103,,,,,,,,,,,,,,,,,,,,,,,,,57,80
102,,,,,,,,,,,,,,,,,,,,,,,,,57,80
101,,,,,,,,,,,,,,,,,,,,,,,,,56,77
100,,,,,,,,,,,,,,,,,,,,,,,,,56,77
99,,,,,,,,,,,,,,,,,,,,,,,,,55,76
98,,,,,,,,,,,,,,,,,,,,,,,,,55,76
97,,,,,,,,,,,,,,,,,,,,,,,,,54,74
96,,,,,,,,,,,,,,,,,,,,,,,87,>99,54,74
95,,,,,,,,,,,,,,,,,,,,,,,86,>99,54,74
94,,,,,,,,,,,,,,,,,,,,,,,85,>99,53,70
93,,,,,,,,,,,,,,,,,,,,,,,85,>99,53,70
92,,,,,,,,,,,,,,,,,,,,,,,84,>99,52,68
91,,,,,,,,,,,,,,,,,,,,,,,83,>99,52,68
90,,,,,,,,,,,,,,,,,,,,,,,82,>99,51,66
89,,,,,,,,,,,,,,,,,,,,,,,81,>99,51,66
88,,,,,,,,,,,,,,,,,,,,,,,81,99,51,66
87,,,,,,,,,,,,,,,,,,,,,,,80,99,50,62
86,,,,,,,,,,,,,,,,,,,,,,,79,99,50,62
85,,,,,,,,,,,,,,,,,,,,,,,78,98,49,60
84,,,,,,,,,,,,,,,,,,,,,,,77,98,49,60
83,,,,,,,,,,,,,,,,,,,,,,,77,98,48,54
82,,,,,,,,,,,,,,,,,,,,,,,76,97,48,54
81,,,,,,,,,,,,,,,,,,,,,,,75,97,47,50
80,,,,,,,,,,,,,,,,,,,,,,,74,97,47,50
79,,,,,,,,,,,,,,,,,,,,,,,74,97,47,50
78,,,,,,,,,,,,,,,,,,,,,,,73,96,46,48
77,,,,,,,,,,,,,,,,,,,,,,,72,96,46,48
76,,,,,,,,,,,,,,,,,,,,,,,71,96,45,43
75,,,,,,,,,,,,,,,,,,,,,,,70,95,45,43
74,,,,,,,,,,,,,,,,,,,,,,,70,95,44,36
73,,,,,,,,,,,,,,,,,,,,,,,69,94,44,36
72,,,,,,,,,,,,,,,,,,,,,,,68,93,44,36
71,,,,,,,,,,,,,,,,,,,,,,,67,92,43,32
70,,,,,,,,,,,,,,,,,,,,,,,67,92,43,32
69,,,,,,,,,,,,,,,,,,,,,,,66,91,42,26
68,,,,,,,,,,,,,,,,,,,,,,,65,90,42,26
67,,,,,,,,,,,,,,,,,,,,,,,64,89,41,21
66,,,,,,,,,,,,,,,,,,,,,,,64,89,41,21
65,,,,,,,,,,,,,,,,,,,,,,,63,88,41,21
64,,,,,,,,,,,,,,,,,,,,,,,62,88,40,13
63,,,,,,,,,,,,,,,,,,,,,,,61,87,40,13
62,,,,,,,,,,,,,,,,,,,,,,,61,87,39,8
61,,,,,,,,,,,,,,,,,,,,,,,60,86,39,8
60,,,,,,,,,,,,,,,,,,,,,,,59,83,38,4
59,,,,,,,,,,,,,,,,,,,,,,,58,82,,
58,,,,,,,,,,,,,,,,,,,,,,,58,82,,
57,,,,,,,,,,,,,,,,,,,,,,,57,80,,
56,,,,,,,,,,,,,,,,,,,,,,,56,78,,
55,,,,,,,,,,,,,,,,,,,,,,,56,78,,
54,,,,,,,,,,,,,,,,,,,,,,,55,74,,
53,,,,,,,,,,,,,,,,,,,,,,,54,74,,
52,,,,,,,,,,,,,,,,,,,,,,,53,74,,
51,,,,,,,,,,,,,,,,,,,,,,,53,74,,
50,,,,,,,,,,,,,,,,,,,,,,,52,70,,
49,,,,,,,,,,,,,,,,,,,,,,,51,66,,
48,,,,,,,,,,,,,,,,,,,,,>90,>99,50,63,,
47,,,,,,,,,,,,,,,,,,,,,>90,>99,50,63,,
46,,,,,,,,,,,,,,,,,,,,,>90,>99,49,55,,
45,,,,,,,,,,,,,,,,,,,,,89,>99,48,54,,
44,,,,,,,,,,,,,,,,,,,,,87,>99,48,54,,
43,,,,,,,,,,,,,,,,,,,,,85,99,47,48,,
42,,,,,,,,,,,,,,,,,,,,,84,99,46,45,,
41,,,,,,,,,,,,,,,,,,,,,82,98,45,42,,
40,,,,,,,,,,,,,,,,,,,,,80,98,45,42,,
39,,,,,,,,,,,,,,,,,,,,,79,98,44,35,,
38,,,,,,,,,,,,,,,,,,,,,77,98,43,31,,
37,,,,,,,,,,,,,,,,,,,,,75,97,42,28,,
36,,,,,,,,,,,,,,,,,,,>90,>99,73,95,42,28,,
35,,,,,,,,,,,,,,,,,,,89,>99,72,94,41,22,,
34,,,,,,,,,,,,,,,,,,,87,>99,70,92,40,17,,
33,,,,,,,,,,,,,,,,,,,84,99,68,92,39,13,,
32,,,,,,,,,,,,,,,,,,,82,99,66,90,39,13,,
31,,,,,,,,,,,,,,,,,,,80,98,65,89,,,,
30,,,,,,,,,,,,,,,,,,,77,98,63,87,,,,
29,,,,,,,,,,,,,,,,,,,75,98,61,86,,,,
28,,,,,,,,,,,,,,,,,,,73,97,58,83,,,,
27,,,,,,,,,,,,,,,,,,,71,95,57,81,,,,
26,,,,,,,,,,,,,,,,,,,69,95,56,78,,,,
25,,,,,,,,,,,,,,,,,,,67,93,54,75,,,,
24,>90,>99,,,>90,>99,83,>99,,,87,>99,79,>99,,,,,65,89,52,70,,,,
23,89,>99,,,>90,>99,80,99,,,84,>99,77,>99,,,,,63,89,51,66,,,,
22,85,99,,,90,>99,78,98,,,82,>99,74,98,,,,,61,87,49,59,,,,
21,82,98,,,86,99,75,97,,,79,99,71,97,,,,,59,84,48,55,,,,
20,79,98,,,83,99,74,96,,,76,98,69,95,,,,,57,82,46,50,,,,
19,76,98,,,79,98,71,94,,,73,97,66,91,,,,,55,78,44,41,,,,
18,73,97,,,76,98,68,92,,,70,95,63,90,,,81,>99,52,72,43,35,,,,
17,69,95,,,72,97,65,89,,,67,92,61,87,,,78,99,50,67,41,24,,,,
16,66,93,,,68,94,62,86,,,64,90,58,83,,,74,98,48,59,40,15,,,,
15,63,91,,,65,91,60,81,84,>99,62,88,56,78,82,>99,71,97,46,52,,,,,,
14,60,86,,,61,88,56,76,79,99,59,85,53,69,78,99,67,94,44,43,,,,,,
13,57,83,,,58,83,54,74,75,98,56,80,51,61,74,97,64,91,42,32,,,,,,
12,54,78,80,>99,54,78,51,68,70,97,53,74,48,54,70,95,60,88,40,15,,,,,,
11,51,70,75,99,51,68,48,57,66,93,50,66,46,46,65,93,57,82,,,,,,,,
10,47,58,70,96,47,58,46,50,61,89,47,57,43,37,61,89,53,73,,,,,,,,
9,44,48,65,93,44,43,43,40,57,82,44,50,41,27,57,82,50,63,,,,,,,,
8,41,28,60,89,40,26,41,26,53,69,41,33,38,13,53,76,46,50,,,,,,,,
7,,,55,79,,,,,49,60,,,,,49,64,43,36,,,,,,,,
6,,,50,64,,,,,44,48,,,,,44,45,39,24,,,,,,,,
5,,,45,50,,,,,40,32,,,,,40,28,,,,,,,,,,
4,,,40,29,,,,,,,,,,,,,,,,,,,,,,
