value,childdomain,parentdomain,totalstress,lifestress
505,,,112,
504,,,112,
503,,,112,
502,,,112,
501,,,112,
500,,,111,
499,,,111,
498,,,111,
497,,,111,
496,,,111,
495,,,110,
494,,,110,
493,,,110,
492,,,110,
491,,,110,
490,,,109,
489,,,109,
488,,,109,
487,,,109,
486,,,109,
485,,,108,
484,,,108,
483,,,108,
482,,,108,
481,,,107,
480,,,107,
479,,,107,
478,,,107,
477,,,107,
476,,,106,
475,,,106,
474,,,106,
473,,,106,
472,,,106,
471,,,105,
470,,,105,
469,,,105,
468,,,105,
467,,,105,
466,,,104,
465,,,104,
464,,,104,
463,,,104,
462,,,103,
461,,,103,
460,,,103,
459,,,103,
458,,,103,
457,,,102,
456,,,102,
455,,,102,
454,,,102,
453,,,102,
452,,,101,
451,,,101,
450,,,101,
449,,,101,
448,,,101,
447,,,100,
446,,,100,
445,,,100,
444,,,100,
443,,,100,
442,,,99,
441,,,99,
440,,,99,
439,,,99,
438,,,98,
437,,,98,
436,,,98,
435,,,98,
434,,,98,
433,,,97,
432,,,97,
431,,,97,
430,,,97,
429,,,97,
428,,,96,
427,,,96,
426,,,96,
425,,,96,
424,,,96,
423,,,95,
422,,,95,
421,,,95,
420,,,95,
419,,,94,
418,,,94,
417,,,94,
416,,,94,
415,,,94,
414,,,93,
413,,,93,
412,,,93,
411,,,93,
410,,,93,
409,,,92,
408,,,92,
407,,,92,
406,,,92,
405,,,92,
404,,,91,
403,,,91,
402,,,91,
401,,,91,
400,,,91,
399,,,90,
398,,,90,
397,,,90,
396,,,90,
395,,,89,
394,,,89,
393,,,89,
392,,,89,
391,,,89,
390,,,88,
389,,,88,
388,,,88,
387,,,88,
386,,,88,
385,,,87,
384,,,87,
383,,,87,
382,,,87,
381,,,87,
380,,,86,
379,,,86,
378,,,86,
377,,,86,
376,,,85,
375,,,85,
374,,,85,
373,,,85,
372,,,85,
371,,,84,
370,,,84,
369,,,84,
368,,,84,
367,,,84,
366,,,83,
365,,,83,
364,,,83,
363,,,83,
362,,,83,
361,,,82,
360,,,82,
359,,,82,
358,,,82,
357,,,82,
356,,,81,
355,,,81,
354,,,81,
353,,,81,
352,,,80,
351,,,80,
350,,,80,
349,,,80,
348,,,80,
347,,,79,
346,,,79,
345,,,79,
344,,,79,
343,,,79,
342,,,78,
341,,,78,
340,,,78,
339,,,78,
338,,,78,
337,,,77,
336,,,77,
335,,,77,
334,,,77,
333,,,76,
332,,,76,
331,,,76,
330,,,76,
329,,,76,
328,,,75,
327,,,75,
326,,,75,
325,,,75,
324,,,75,
323,,,74,
322,,,74,
321,,,74,
320,,,74,
319,,,74,
318,,,73,
317,,,73,
316,,,73,
315,,,73,
314,,,73,
313,,,72,
312,,,72,
311,,,72,
310,,,72,
309,,,71,
308,,,71,
307,,,71,
306,,,71,
305,,,71,
304,,,70,
303,,,70,
302,,,70,
301,,,70,
300,,,70,
299,,,69,
298,,,69,
297,,,69,
296,,,69,
295,,,69,
294,,,68,
293,,,68,
292,,,68,
291,,,68,
290,,,67,
289,,,67,
288,,,67,
287,,,67,
286,,,67,
285,,,66,
284,,,66,
283,,,66,
282,,,66,
281,,,66,
280,,,65,
279,,,65,
278,,,65,
277,,,65,
276,,,65,
275,,,64,
274,,,64,
273,,,64,
272,,,64,
271,,,64,
270,,105,63,
269,,105,63,
268,,104,63,
267,,104,63,
266,,104,62,
265,,103,62,
264,,103,62,
263,,102,62,
262,,102,62,
261,,102,61,
260,,101,61,
259,,101,61,
258,,101,61,
257,,100,61,
256,,100,60,
255,,100,60,
254,,99,60,
253,,99,60,
252,,99,60,
251,,98,59,
250,,98,59,
249,,98,59,
248,,97,59,
247,,97,58,
246,,97,58,
245,,96,58,
244,,96,58,
243,,95,58,
242,,95,57,
241,,95,57,
240,,94,57,
239,,94,57,
238,,94,57,
237,,93,56,
236,,93,56,
235,109,93,56,
234,108,92,56,
233,108,92,56,
232,107,92,55,
231,107,91,55,
230,107,91,55,
229,106,91,55,
228,106,90,55,
227,105,90,54,
226,105,90,54,
225,105,89,54,
224,104,89,54,
223,104,88,53,
222,103,88,53,
221,103,88,53,
220,102,87,53,
219,102,87,53,
218,102,87,52,
217,101,86,52,
216,101,86,52,
215,100,86,52,
214,100,85,52,
213,100,85,51,
212,99,85,51,
211,99,84,51,
210,98,84,51,
209,98,84,51,
208,98,83,50,
207,97,83,50,
206,97,83,50,
205,96,82,50,
204,96,82,49,
203,95,81,49,
202,95,81,49,
201,95,81,49,
200,94,80,49,
199,94,80,48,
198,93,80,48,
197,93,79,48,
196,93,79,48,
195,92,79,48,
194,92,78,47,
193,91,78,47,
192,91,78,47,
191,90,77,47,
190,90,77,47,
189,90,77,46,
188,89,76,46,
187,89,76,46,
186,88,76,46,
185,88,75,45,
184,88,75,45,
183,87,74,45,
182,87,74,45,
181,86,74,45,
180,86,73,44,
179,85,73,44,
178,85,73,44,
177,85,72,44,
176,84,72,44,
175,84,72,43,
174,83,71,43,
173,83,71,43,
172,83,71,43,
171,82,70,43,
170,82,70,42,
169,81,70,42,
168,81,69,42,
167,80,69,42,
166,80,69,42,
165,80,68,41,
164,79,68,41,
163,79,68,41,
162,78,67,41,
161,78,67,40,
160,78,66,40,
159,77,66,40,
158,77,66,40,
157,76,65,40,
156,76,65,39,
155,76,65,39,
154,75,64,39,
153,75,64,39,
152,74,64,39,
151,74,63,38,
150,73,63,38,
149,73,63,38,
148,73,62,38,
147,72,62,38,
146,72,62,37,
145,71,61,37,
144,71,61,37,
143,71,61,37,
142,70,60,36,
141,70,60,36,
140,69,59,36,
139,69,59,36,
138,68,59,36,
137,68,58,35,
136,68,58,35,
135,67,58,35,
134,67,57,35,
133,66,57,35,
132,66,57,34,
131,66,56,34,
130,65,56,34,
129,65,56,34,
128,64,55,34,
127,64,55,33,
126,63,55,33,
125,63,54,33,
124,63,54,33,
123,62,54,33,
122,62,53,32,
121,61,53,32,
120,61,52,32,
119,61,52,32,
118,60,52,31,
117,60,51,31,
116,59,51,31,
115,59,51,31,
114,58,50,31,
113,58,50,30,
112,58,50,30,
111,57,49,30,
110,57,49,30,
109,56,49,30,
108,56,48,29,
107,56,48,29,
106,55,48,29,
105,55,47,29,
104,54,47,29,
103,54,47,28,
102,54,46,28,
101,53,46,28,
100,53,45,,
99,52,45,,
98,52,45,,
97,51,44,,
96,51,44,,
95,51,44,,
94,50,43,,
93,50,43,,
92,49,43,,
91,49,42,,
90,49,42,,
89,48,42,,
88,48,41,,
87,47,41,,
86,47,41,,
85,46,40,,
84,46,40,,
83,46,40,,
82,45,39,,
81,45,39,,
80,44,38,,
79,44,38,,>=115
78,44,38,,>=115
77,43,37,,114
76,43,37,,113
75,42,37,,112
74,42,36,,111
73,41,36,,110
72,41,36,,109
71,41,35,,108
70,40,35,,107
69,40,35,,106
68,39,34,,105
67,39,34,,104
66,39,34,,103
65,38,33,,102
64,38,33,,101
63,37,33,,100
62,37,32,,99
61,36,32,,98
60,36,31,,98
59,36,31,,97
58,35,31,,96
57,35,30,,95
56,34,30,,94
55,34,30,,93
54,34,29,,92
53,33,,,91
52,33,,,90
51,32,,,89
50,32,,,88
49,31,,,87
48,31,,,86
47,31,,,85
46,,,,84
45,,,,83
44,,,,82
43,,,,81
42,,,,81
41,,,,80
40,,,,79
39,,,,78
38,,,,77
37,,,,76
36,,,,75
35,,,,74
34,,,,73
33,,,,72
32,,,,71
31,,,,70
30,,,,69
29,,,,68
28,,,,67
27,,,,66
26,,,,65
25,,,,64
24,,,,64
23,,,,63
22,,,,62
21,,,,61
20,,,,60
19,,,,59
18,,,,58
17,,,,57
16,,,,56
15,,,,55
14,,,,54
13,,,,53
12,,,,52
11,,,,51
10,,,,50
9,,,,49
8,,,,48
7,,,,47
6,,,,47
5,,,,46
4,,,,45
3,,,,44
2,,,,43
1,,,,42
0,,,,41
